,keyword,count,netSentiment,sentiment
0,easy use,4,-17.611940298507463,positive
1,awesome app,4,-17.611940298507463,positive
2,good,3,-17.611940298507463,positive
3,ease use,3,-17.611940298507463,positive
4,banking app,3,-17.611940298507463,positive
5,great app,3,-17.611940298507463,positive
6,good app,2,-17.611940298507463,positive
7,gxs bank,2,-17.611940298507463,positive
8,uiux app,2,-17.611940298507463,positive
9,gxs,2,-17.611940298507463,positive
10,saving pocket,2,-17.611940298507463,positive
11,digital banking,2,-17.611940298507463,positive
12,bank app,2,-17.611940298507463,positive
13,app design,2,-17.611940298507463,positive
14,bank apps,1,-17.611940298507463,positive
15,sgqr codes,1,-17.611940298507463,positive
16,negative reviews,1,-17.611940298507463,positive
17,gif mony,1,-17.611940298507463,positive
18,gxs simple,1,-17.611940298507463,positive
19,multiple pockets,1,-17.611940298507463,positive
20,fast repayments,1,-17.611940298507463,positive
21,ok good,1,-17.611940298507463,positive
22,using bank,1,-17.611940298507463,positive
23,savings pockets,1,-17.611940298507463,positive
24,load apps,1,-17.611940298507463,positive
25,fast app,1,-17.611940298507463,positive
26,easy loan,1,-17.611940298507463,positive
27,digital savings,1,-17.611940298507463,positive
28,great savings,1,-17.611940298507463,positive
29,loving far,1,-17.611940298507463,positive
30,rebates app,1,-17.611940298507463,positive
31,activate gxs,1,-17.611940298507463,positive
32,secure transactions,1,-17.611940298507463,positive
33,use payments,1,-17.611940298507463,positive
34,great bank,1,-17.611940298507463,positive
35,super efficient,1,-17.611940298507463,positive
36,superb,1,-17.611940298507463,positive
37,transfer bank,1,-17.611940298507463,positive
38,friendly user,1,-17.611940298507463,positive
39,loan foreigner,1,-17.611940298507463,positive
40,month gxs,1,-17.611940298507463,positive
41,easy fingertips,1,-17.611940298507463,positive
42,loan loan,1,-17.611940298507463,positive
43,cool app,1,-17.611940298507463,positive
44,seamless,1,-17.611940298507463,positive
45,love gxs,1,-17.611940298507463,positive
46,setup pocket,1,-17.611940298507463,positive
47,payee feature,1,-17.611940298507463,positive
48,apps easy,1,-17.611940298507463,positive
49,seamless registration,1,-17.611940298507463,positive
50,nice,1,-17.611940298507463,positive
51,app easy,1,-17.611940298507463,positive
52,easy register,1,-17.611940298507463,positive
53,bank amazing,1,-17.611940298507463,positive
54,digibank mobile,1,-17.611940298507463,positive
55,best bank,1,-17.611940298507463,positive
56,interface app,1,-17.611940298507463,positive
57,onboarding account,1,-17.611940298507463,positive
58,gsx bank,1,-17.611940298507463,positive
59,rewards wish,1,-17.611940298507463,positive
60,repayment easy,1,-17.611940298507463,positive
61,smooth easy,1,-17.611940298507463,positive
62,money flexible,1,-17.611940298507463,positive
63,emergency moolahs,1,-17.611940298507463,positive
64,exciting bank,1,-17.611940298507463,positive
65,build savings,1,-17.611940298507463,positive
66,user experience,1,-17.611940298507463,positive
67,banking easy,1,-17.611940298507463,positive
68,reminder easy,1,-17.611940298507463,positive
69,gxs apps,1,-17.611940298507463,positive
70,digital bank,1,-17.611940298507463,positive
71,growth everyday,1,-17.611940298507463,positive
72,definition try,1,-17.611940298507463,positive
73,ux app,1,-17.611940298507463,positive
74,gxs great,1,-17.611940298507463,positive
75,good application,1,-17.611940298507463,positive
76,saving pockets,1,-17.611940298507463,positive
77,application simple,1,-17.611940298507463,positive
78,loans friendly,1,-17.611940298507463,positive
79,friendly app,1,-17.611940298507463,positive
80,really helpful,1,-17.611940298507463,positive
81,compared bank,1,-17.611940298507463,positive
82,savings easy,1,-17.611940298507463,positive
83,interaction easy,1,-17.611940298507463,positive
84,saving rate,1,-17.611940298507463,positive
85,internet bank,1,-17.611940298507463,positive
86,use repayments,1,-17.611940298507463,positive
87,loan approval,1,-17.611940298507463,positive
88,singpass password,1,-17.611940298507463,positive
89,gxs provide,1,-17.611940298507463,positive
90,modern design,1,-17.611940298507463,positive
91,service efficient,1,-17.611940298507463,positive
92,banking gxs,1,-17.611940298507463,positive
93,great ui,1,-17.611940298507463,positive
94,transparent loans,1,-17.611940298507463,positive
95,touches sky,1,-17.611940298507463,positive
96,easy good,1,-17.611940298507463,positive
97,flexi loan,1,-17.611940298507463,positive
98,company reliable,1,-17.611940298507463,positive
99,rates pockets,1,-17.611940298507463,positive
100,pockets great,1,-17.611940298507463,positive
101,intern write,1,-17.611940298507463,positive
102,gxs savings,1,-17.611940298507463,positive
103,app usage,1,-17.611940298507463,positive
104,earn everyday,1,-17.611940298507463,positive
105,nice app,1,-17.611940298507463,positive
106,gxs app,1,-17.611940298507463,positive
107,aapps hassle,1,-17.611940298507463,positive
108,app,1,-17.611940298507463,positive
109,good good,1,-17.611940298507463,positive
110,wow wow,1,-17.611940298507463,positive
111,gxs bank,5,-17.611940298507463,negative
112,gxs app,3,-17.611940298507463,negative
113,account gxs,2,-17.611940298507463,negative
114,singpass qr,2,-17.611940298507463,negative
115,open,2,-17.611940298507463,negative
116,unable login,2,-17.611940298507463,negative
117,buggy app,2,-17.611940298507463,negative
118,app suddenly,2,-17.611940298507463,negative
119,debit card,2,-17.611940298507463,negative
120,banking app,2,-17.611940298507463,negative
121,unable sign,2,-17.611940298507463,negative
122,lousy app,2,-17.611940298507463,negative
123,google pay,1,-17.611940298507463,negative
124,cso terminate,1,-17.611940298507463,negative
125,savimgs account,1,-17.611940298507463,negative
126,picture upload,1,-17.611940298507463,negative
127,card uninstalling,1,-17.611940298507463,negative
128,finger identification,1,-17.611940298507463,negative
129,using apps,1,-17.611940298507463,negative
130,finger print,1,-17.611940298507463,negative
131,signup singpass,1,-17.611940298507463,negative
132,application 4x,1,-17.611940298507463,negative
133,fingerprint login,1,-17.611940298507463,negative
134,recipients fast,1,-17.611940298507463,negative
135,foreign apply,1,-17.611940298507463,negative
136,uninstalling trust,1,-17.611940298507463,negative
137,gxbank worldwide,1,-17.611940298507463,negative
138,months pass,1,-17.611940298507463,negative
139,login,1,-17.611940298507463,negative
140,stuck singpass,1,-17.611940298507463,negative
141,sig,1,-17.611940298507463,negative
142,money stuck,1,-17.611940298507463,negative
143,malware hp,1,-17.611940298507463,negative
144,open gxs,1,-17.611940298507463,negative
145,phone modified,1,-17.611940298507463,negative
146,terrible app,1,-17.611940298507463,negative
147,favourite payee,1,-17.611940298507463,negative
148,scam,1,-17.611940298507463,negative
149,rating app,1,-17.611940298507463,negative
150,sing pass,1,-17.611940298507463,negative
151,email 2fa,1,-17.611940298507463,negative
152,early access,1,-17.611940298507463,negative
153,use bank,1,-17.611940298507463,negative
154,worst rate,1,-17.611940298507463,negative
155,false advertising,1,-17.611940298507463,negative
156,closed account,1,-17.611940298507463,negative
157,ssucks,1,-17.611940298507463,negative
158,uninstalling,1,-17.611940298507463,negative
159,waiting list,1,-17.611940298507463,negative
160,paynow qr,1,-17.611940298507463,negative
161,gxs flexiloan,1,-17.611940298507463,negative
162,2023 banking,1,-17.611940298507463,negative
163,register pop,1,-17.611940298507463,negative
164,login issue,1,-17.611940298507463,negative
165,email late,1,-17.611940298507463,negative
166,wrong apps,1,-17.611940298507463,negative
167,open app,1,-17.611940298507463,negative
168,email otp,1,-17.611940298507463,negative
169,problem login,1,-17.611940298507463,negative
170,funds browser,1,-17.611940298507463,negative
171,apps happened,1,-17.611940298507463,negative
172,stuck loading,1,-17.611940298507463,negative
173,false promise,1,-17.611940298507463,negative
174,trying login,1,-17.611940298507463,negative
175,trust bank,1,-17.611940298507463,negative
176,log,1,-17.611940298507463,negative
177,use biometrics,1,-17.611940298507463,negative
178,login issues,1,-17.611940298507463,negative
179,application closed,1,-17.611940298507463,negative
180,main wallet,1,-17.611940298507463,negative
181,rejected details,1,-17.611940298507463,negative
182,error stuff,1,-17.611940298507463,negative
183,open apps,1,-17.611940298507463,negative
184,rubbish apps,1,-17.611940298507463,negative
185,download error,1,-17.611940298507463,negative
186,apply loan,1,-17.611940298507463,negative
187,singaporean apply,1,-17.611940298507463,negative
188,rates attractive,1,-17.611940298507463,negative
189,open account,1,-17.611940298507463,negative
190,standard chartered,1,-17.611940298507463,negative
191,attach screenshot,1,-17.611940298507463,negative
192,sign properly,1,-17.611940298507463,negative
193,trolling bruh,1,-17.611940298507463,negative
194,add payees,1,-17.611940298507463,negative
195,garbage company,1,-17.611940298507463,negative
196,month gxs,1,-17.611940298507463,negative
197,opening app,1,-17.611940298507463,negative
198,rate dropping,1,-17.611940298507463,negative
199,rate 2weeks,1,-17.611940298507463,negative
200,pending account,1,-17.611940298507463,negative
201,flexiloan using,1,-17.611940298507463,negative
202,details complete,1,-17.611940298507463,negative
203,registering notice,1,-17.611940298507463,negative
204,support sgqr,1,-17.611940298507463,negative
205,error open,1,-17.611940298507463,negative
206,dogshit app,1,-17.611940298507463,negative
207,cui,1,-17.611940298507463,negative
208,rejected everytime,1,-17.611940298507463,negative
209,application selection,1,-17.611940298507463,negative
210,sign slots,1,-17.611940298507463,negative
211,download open,1,-17.611940298507463,negative
212,overlap app,1,-17.611940298507463,negative
213,cut queue,1,-17.611940298507463,negative
214,app updated,1,-17.611940298507463,negative
215,singpass details,1,-17.611940298507463,negative
216,sign failed,1,-17.611940298507463,negative
217,scan qr,1,-17.611940298507463,negative
218,online banking,1,-17.611940298507463,negative
219,app error,1,-17.611940298507463,negative
220,save payees,1,-17.611940298507463,negative
221,singpass app,1,-17.611940298507463,negative
222,blank screen,1,-17.611940298507463,negative
223,beneficiary app,1,-17.611940298507463,negative
224,register,1,-17.611940298507463,negative
225,singpass want,1,-17.611940298507463,negative
226,bank apps,1,-17.611940298507463,negative
227,app downloaded,1,-17.611940298507463,negative
228,click singpass,1,-17.611940298507463,negative
229,singpass multiple,1,-17.611940298507463,negative
230,login singpass,1,-17.611940298507463,negative
231,login page,1,-17.611940298507463,negative
232,singpass approve,1,-17.611940298507463,negative
233,pull refresh,1,-17.611940298507463,negative
234,launch stalled,1,-17.611940298507463,negative
235,savings account,1,-17.611940298507463,negative
236,app stuck,1,-17.611940298507463,negative
237,web interface,1,-17.611940298507463,negative
238,app downloading,1,-17.611940298507463,negative
239,gxs screen,1,-17.611940298507463,negative
240,crash login,1,-17.611940298507463,negative
241,redirecting singpass,1,-17.611940298507463,negative
242,loan approved,1,-17.611940298507463,negative
243,worst apps,1,-17.611940298507463,negative
244,gxs banks,1,-17.611940298507463,negative
245,gxs transferring,1,-17.611940298507463,negative
246,digital bank,1,-17.611940298507463,negative
247,payee saving,1,-17.611940298507463,negative
248,maribank better,1,-17.611940298507463,negative
249,downloaded app,1,-17.611940298507463,negative
250,ready app,1,-17.611940298507463,negative
251,updates bank,1,-17.611940298507463,negative
252,rate dropped,1,-17.611940298507463,negative
253,used gxs,1,-17.611940298507463,negative
254,deposits honest,1,-17.611940298507463,negative
255,invite gxs,1,-17.611940298507463,negative
256,survey gxs,1,-17.611940298507463,negative
257,change brighter,1,-17.611940298507463,negative
258,gxs touted,1,-17.611940298507463,negative
259,increase reduce,1,-17.611940298507463,negative
260,singpass incorrect,1,-17.611940298507463,negative
261,app store,1,-17.611940298507463,negative
262,disappointed apps,1,-17.611940298507463,negative
263,glitch open,1,-17.611940298507463,negative
264,ui poor,1,-17.611940298507463,negative
265,horrible app,1,-17.611940298507463,negative
266,account bank,1,-17.611940298507463,negative
267,unusable app,1,-17.611940298507463,negative
268,experience onboarding,1,-17.611940298507463,negative
269,open bank,1,-17.611940298507463,negative
270,app app,1,-17.611940298507463,negative
271,disappointed singaporean,1,-17.611940298507463,negative
272,flexi loan,1,-17.611940298507463,negative
273,traditional banks,1,-17.611940298507463,negative
274,kenna baited,1,-17.611940298507463,negative
275,use sign,1,-17.611940298507463,negative
276,login applying,1,-17.611940298507463,negative
277,drawing board,1,-17.611940298507463,negative
278,access update,1,-17.611940298507463,negative
279,deleted app,1,-17.611940298507463,negative
280,funds blocked,1,-17.611940298507463,negative
281,save payee,1,-17.611940298507463,negative
282,reduce rates,1,-17.611940298507463,negative
283,unresponsive app,1,-17.611940298507463,negative
284,join gxs,1,-17.611940298507463,negative
285,app gxs,1,-17.611940298507463,negative
286,savings rates,1,-17.611940298507463,negative
287,use maribank,1,-17.611940298507463,negative
288,pr sp,1,-17.611940298507463,negative
289,scan pay,1,-17.611940298507463,negative
290,bug 安全漏洞,1,-17.611940298507463,negative
291,gxs account,1,-17.611940298507463,negative
